TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Legendary
4027,Meka #4027,Aqua Lite,OG Meka,OG Radiant Trooper,OG Violet E1,OG Knight,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,,,
4028,Meka #4028,,OG Meka,OG Quartz Heavy,OG Violet E1,OG Monkey R-9,OG Trooper S1,OG Trooper A2,OG Heavy C1,0.0,,Camo blue,
4029,Meka #4029,Blood Red,OG Meka,OG Darya Elite,OG Violet E1,OG Monkey R-7,OG Assault jaw,OG Squadron 4,OG Trooper C1,4.0,,,
4030,Meka #4030,Blurple,OG Meka,OG Delta Trooper,OG Violet E1,OG Last Breath,OG Sabotage S3,OG Trooper A1,OG Heavy C1,4.0,,,
4031,Meka #4031,Blurple,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Sabotage S3,OG Trooper A1,OG Heavy C1,4.0,,,
4032,Meka #4032,Blue Grey,Gādian,GAI Jingasa H1,Pink Circle,GAI Youma,GAI Jingasa J1,GAI Jingasa A1,GAI Sōhei C1,3.0,,,
4033,Meka #4033,Red,Gādian,GAI Tetra H2,White Square,GAI Jingasa M1,GAI Jingasa J1,GAI Sōhei A1,GAI Jingasa C1,4.0,,,
4034,Meka #4034,Sky Blue,Gādian,GAI Youma H1,Pink Delta,GAI Youma,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C1,3.0,GAI Enten,,
4035,Meka #4035,Sky Blue,Mirage,MI Racer H2,MI Aqua Eye,MI Racer M1,MI Sonic J2,MI Racer A1,MI Racer C1,2.0,,,
4036,Meka #4036,Blue Grey,Mirage,MI SB-4,MI Aqua Eye,MI Racer M2,MI Sonar J2,MI Racer A2,MI Radar C1,3.0,,,
4037,Meka #4037,,OG Meka,OG Quartz Elite,OG Violet E1,OG Heavy,OG Assault jaw,OG Squadron 3,OG Trooper C1,0.0,,Camo blue,
4038,Meka #4038,Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Last Breath,OG Trooper S2,OG Solid Tank,OG Trooper C1,3.0,,,
4039,Meka #4039,,Mirage,MI Racer H2,MI Pink Visor,MI Racer M2,MI WS-1,MI Radar A1,MI Radar C1,0.0,,Camo blue,
4040,Meka #4040,Blue Grey,OG Meka,OG Quartz Trooper,OG Violet E1,OG Mantis,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,OG Thunder Gun,,
4041,Meka #4041,White,Mirage,MI Sonar,MI Pink Visor,MI Salamender,MI Sonic J1,MI Radar A1,MI Racer C1,2.0,MI Ray guns,,
4042,Meka #4042,Light Green,OG Meka,OG Delta Trooper,OG Blue E4,OG Sphere,OG Assault jaw,OG Trooper A1,OG Heavy C1,3.0,,,
4043,Meka #4043,Pastel Blue,Mirage,MI Racer H2,MI Pink Visor,MI Racer M1,MI Radar W1,MI Racer A1,MI Radar C1,3.0,,,
4044,Meka #4044,Blue Grey,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Sabotage S3,OG Solid Tank,OG Trooper C1,3.0,,,
4045,Meka #4045,Orange,OG Meka,OG Rombus Heavy,OG Violet E1,OG Trooper M2,OG Trooper S1,OG Squadron 3,OG Heavy C2,5.0,,,
4046,Meka #4046,,Mirage,MI Racer H2,MI White Visor,MI Salamender,MI Sonar J2,MI Radar A1,MI Radar C1,0.0,,Siberie,
4047,Meka #4047,Blue Grey,OG Meka,OG Quartz Heavy,OG Rose E1,OG Trooper M2,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,,,
4048,Meka #4048,Blurple,OG Meka,OG Darya Trooper,OG Rose E1,OG Monkey R-9,OG Trooper S2,OG Squadron 3,OG Heavy C1,3.0,,,
4049,Meka #4049,,OG Meka,OG Oblong Elite,OG Violet E1,OG Monkey R-7,OG Rocket jaw,OG Squadron 4,OG Trooper C1,0.0,,Siberie,
4050,Meka #4050,Red,F9,F9 Assault Spikes,F9 Green E7,F9 Jingasa M2,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,GAI Katana,Gold Weapon,
4051,Meka #4051,Aqua Lite,Mirage,MI Radar,MI Aqua Eye,MI Racer M2,MI Falcon W1,MI Sonic A1,MI Racer C1,4.0,,Silver Helmet,
4052,Meka #4052,Pastel Blue,OG Meka,OG Delta Heavy,OG Violet E1,OG Sphere,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,,,
4053,Meka #4053,Blue Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C1,3.0,,,
4054,Meka #4054,Dark Grey,OG Meka,OG Quartz Heavy,OG Rose E1,OG Sphere,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,OG Solid Blade,,
4055,Meka #4055,Aqua Lite,OG Meka,OG Oblong Elite,OG Pink E0,OG Heavy,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,,Gold Helmet,
4056,Meka #4056,Blood Red,Gādian,GAI Jingasa H1,Cyan Square,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,3.0,,,
4057,Meka #4057,Aqua Lite,OG Meka,OG Delta Elite,OG Rose E1,OG Heavy,OG Trooper S1,OG Trooper A1,OG Heavy C2,3.0,,Silver Helmet,
4058,Meka #4058,Dark Grey,Mirage,MI Racer,MI Pink Visor,MI Salamender,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
4059,Meka #4059,Orange,OG Meka,OG Darya Heavy,OG Rose E1,OG Trooper M2,OG Trooper S1,OG Trooper A2,OG Heavy C2,3.0,OG Cannons,Silver Weapon,
4060,Meka #4060,Dark Grey,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Storm,MI Radar A1,MI Sonic C1,4.0,,,
4061,Meka #4061,Blue Grey,Mirage,MI Sonar,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A2,MI Racer C1,3.0,,,
4062,Meka #4062,Grey,Gādian,GAI Jingasa H2,Pink Delta,GAI Youma,GAI Jingasa J1,GAI Yasuke,GAI Sōhei C2,2.0,,,
4063,Meka #4063,Red,Gādian,GAI Tetra H2,Green Circle,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C2,3.0,,,
4064,Meka #4064,Blood Red,OG Meka,OG Quartz Heavy,OG Rose E1,OG Monkey R-9,OG Trooper S1,OG Solid Tank,OG Heavy C2,3.0,OG Omega x2,,
4065,Meka #4065,Dark Grey,F9,F9 Ronin H1,F9 Green E4,F9 Assault,F9 Brackyura,F9 Jingasa A1,F9 Bastion C1,4.0,,,
4066,Meka #4066,Blood Red,Mirage,MI Radar,MI Pink Visor,MI Salamender,MI Storm,MI Radar A1,MI Radar C1,3.0,,,
4067,Meka #4067,White,OG Meka,OG Darya Trooper,OG Blue E4,OG Mantis,OG Sabotage S3,OG Trooper A1,OG Trooper C1,2.0,,,
4068,Meka #4068,Blue Grey,OG Meka,OG Radiant Heavy,OG Rose E1,OG Heavy,OG Trooper S1,OG Squadron 4,OG Trooper C1,4.0,,,
4069,Meka #4069,Grey,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M2,OG Trooper S1,OG Trooper A1,OG Trooper C1,3.0,,Silver Helmet,
4070,Meka #4070,Pastel Blue,Mirage,MI Racer,MI White Visor,MI Racer M2,MI Radar W1,MI Racer A1,MI Racer C1,3.0,,,
4071,Meka #4071,Aqua Lite,OG Meka,OG Oblong Heavy,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,,,
4072,Meka #4072,Blue Grey,Gādian,GAI Jingasa H2,Green Circle,GAI Jingasa M2,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,,
4073,Meka #4073,Pink,Mirage,MI Racer H2,MI Aqua Eye,MI Kaiman,MI Radar W1,MI Racer A2,MI Radar C1,4.0,MI Ray guns,,
4074,Meka #4074,Blood Red,Mirage,MI Radar,MI White Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Radar C1,4.0,,,
4075,Meka #4075,Blue Grey,OG Meka,OG Darya Elite,OG Rose E1,OG Last Breath,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,,,
4076,Meka #4076,,F9,F9 Ronin H1,F9 Green E7,F9 Bastion M1,F9 Assault,F9 Samourai A0,F9 Fortress C1,0.0,,Carbon,
4077,Meka #4077,Blood Red,OG Meka,OG Rombus Trooper,OG Rose E1,OG Sphere,OG Sabotage S7,OG Trooper A1,OG Trooper C1,4.0,,,
4078,Meka #4078,Blood Red,OG Meka,OG Quartz Trooper,OG Blue E4,OG Sphere,OG Sabotage S7,OG Trooper A1,OG Trooper C1,5.0,,,
4079,Meka #4079,Orange,Mirage,MI Eagle,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C2,3.0,,,
4080,Meka #4080,Camo Green,OG Meka,OG Delta Trooper,OG Red E0,OG Sphere,OG Trooper S2,OG Trooper A1,OG Trooper C1,2.0,,,
4081,Meka #4081,,OG Meka,OG Delta Elite,OG Rose E1,OG Monkey R-7,OG Trooper S1,OG Solid Tank,OG Trooper C1,0.0,,Camo green,
4082,Meka #4082,Orange,OG Meka,OG Delta Trooper,OG Rose E1,OG Last Breath,OG Trooper S1,OG Solid Tank,OG Trooper C1,5.0,,,
4083,Meka #4083,Aqua Lite,F9,F9 Loop,F9 Green E7,F9 Heavy,F9 Assault,F9 Jingasa A2,F9 Bastion C1,3.0,,Silver Helmet,
4084,Meka #4084,,Mirage,MI SB-4,MI Pink Visor,MI Racer M2,MI WS-2,MI Radar A1,MI Sonic C1,0.0,,Siberie,
4085,Meka #4085,Pastel Blue,OG Meka,OG Quartz Elite,OG Rose E1,OG Filter,OG Trooper S1,OG Solid Tank,OG Trooper C2,2.0,,,
4086,Meka #4086,Dark Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M2,MI Racer W1,MI Racer A1,MI Radar C1,4.0,MI Ray guns,,
4087,Meka #4087,White,Mirage,MI Racer,MI Aqua Eye,MI Racer M2,MI Sonic J1,MI Racer A1,MI Racer C1,2.0,,,
4088,Meka #4088,Pink,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M2,OG Trooper S2,OG Squadron 4,OG Trooper C1,4.0,,,
4089,Meka #4089,Light Green,Mirage,MI Racer H2,MI Pink Visor,MI Kaiman,MI Racer W1,MI Radar A1,MI Racer C1,2.0,,,
4090,Meka #4090,Grey,OG Meka,OG Radiant Elite,OG Red E0,OG Trooper M1,OG Sabotage S7,OG Squadron 3,OG Trooper C1,2.0,,,
4091,Meka #4091,Blue Grey,Mirage,MI Racer H2,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Radar A1,MI Racer C1,4.0,,,
4092,Meka #4092,Pastel Blue,OG Meka,OG Rombus Heavy,OG Rose E1,OG Pain,OG Assault jaw,OG Squadron 4,OG Trooper C2,4.0,,,
4093,Meka #4093,Dark Grey,Gādian,GAI Youma H2,Cyan Square,GAI Bastion M1,Bastion J2,GAI Jingasa A1,GAI Jingasa C1,4.0,,Gold Helmet,
4094,Meka #4094,,Gādian,GAI Youma H2,Pink Delta,GAI Jingasa M1,Bastion J1,GAI Youma,GAI Jingasa C1,0.0,,Siberie,
4095,Meka #4095,Sky Blue,OG Meka,OG Rombus Elite,OG Rose E1,OG Filter,OG Trooper S1,OG Solid Tank,OG Trooper C2,4.0,,,
4096,Meka #4096,Aqua Lite,F9,F9 Spikes,F9 Green E4,F9 Assault,F9 Aura J-0,F9 Bastion,F9 Bastion C1,2.0,,,
4097,Meka #4097,Blood Red,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A2,MI Racer C1,3.0,,,
4098,Meka #4098,Red,Mirage,MI Racer,MI Aqua Eye,MI Salamender,MI Racer W1,MI Racer A2,MI Radar C1,5.0,,,
4099,Meka #4099,Blue Grey,OG Meka,OG Rombus Trooper,OG Pink E0,OG Trooper M1,OG Trooper S2,OG Squadron 3,OG Trooper C1,4.0,,,
4100,Meka #4100,Pastel Blue,OG Meka,OG Quartz Elite,OG Violet E1,OG Filter,OG Trooper S1,OG Metal spike,OG Trooper C1,4.0,,,
4101,Meka #4101,Blue Grey,OG Meka,OG Radiant Trooper,OG Violet E1,OG Sphere,OG Trooper S1,OG Trooper A1,OG Heavy C1,3.0,,,
4102,Meka #4102,Pink,Mirage,MI Radar,MI Pink Visor,MI Radar M1,MI Racer W2,MI Radar A1,MI Radar C1,3.0,MI Ray guns,,
4103,Meka #4103,Orange,Mirage,MI Radar,MI Aqua Eye,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C2,5.0,,,
4104,Meka #4104,Black,OG Meka,OG Helmet Brick,OG Glowing Eyes Brick,OG Mask Brick,OG Helmet Brick,OG Arms Brick,OG Chest Brick,5.0,,Brick,
4105,Meka #4105,,OG Meka,OG Quartz Heavy,OG Rose E1,OG Pain,OG Trooper S2,OG Trooper A2,OG Heavy C1,0.0,OG Smiley K2,Siberie,
4106,Meka #4106,Blood Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Heavy,OG Trooper S1,OG Solid Tank,OG Trooper C1,4.0,,,
4107,Meka #4107,Blurple,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A2,MI Racer C1,3.0,MI Rockets,,
4108,Meka #4108,Aqua Lite,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C1,4.0,,,
4109,Meka #4109,Blue Grey,OG Meka,OG Quartz Heavy,OG Rose E1,OG Trooper M1,OG Sabotage S7,OG Squadron 4,OG Trooper C2,3.0,,,
4110,Meka #4110,,OG Meka,OG Quartz Elite,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Solid Tank,OG Trooper C1,0.0,OG Omega,Ghost,
4111,Meka #4111,Dark Grey,Gādian,GAI Janjin H2,Cyan Square,GAI Youma,GAI Jingasa J1,GAI Jingasa A2,GAI Youma,4.0,GAI Katana x2,,
4112,Meka #4112,Orange,Gādian,GAI Youma H2,Pink Circle,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C2,4.0,,Silver Helmet,
4113,Meka #4113,Pastel Blue,OG Meka,OG Delta Elite,OG White E13,OG Monkey R-9,OG Trooper S1,OG Trooper A2,OG Heavy C2,3.0,OG Solid Blade,,
4114,Meka #4114,Blurple,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C1,4.0,,,
4115,Meka #4115,Red,Mirage,MI Racer H2,MI White Visor,MI Radar M1,MI WS-1,MI Radar A1,MI Radar C1,2.0,,,
4116,Meka #4116,Pastel Blue,OG Meka,OG Oblong Elite,OG Rose E1,OG Knight,OG Trooper S1,OG Trooper A2,OG Heavy C2,4.0,,,
4117,Meka #4117,Blue Grey,Mirage,MI Eagle,MI Pink Visor,MI Sonic M1,MI Radar W1,MI Racer A2,MI Racer C1,3.0,MI Ray guns,,
4118,Meka #4118,Blue Grey,OG Meka,OG Delta Heavy,OG Rose E1,OG Trooper M2,OG Sabotage S3,OG Trooper A1,OG Trooper C1,5.0,,,
4119,Meka #4119,Blood Red,F9,F9 Ronin H1,F9 Green E7,F9 Monkey,F9 Aura J-0,F9 Jingasa A1,F9 Bastion C1,4.0,GAI Gento,,
4120,Meka #4120,Blood Red,OG Meka,OG Delta Trooper,OG White E13,OG Monkey R-7,OG Assault jaw,OG Squadron 4,OG Trooper C1,4.0,,,
4121,Meka #4121,Aqua Lite,OG Meka,OG Delta Elite,OG Rose E1,OG Sphere,OG Trooper S1,OG Trooper A2,OG Trooper C1,2.0,,,
4122,Meka #4122,Aqua Lite,OG Meka,OG Darya Heavy,OG Rose E1,OG Filter,OG Sabotage S7,OG Trooper A2,OG Trooper C1,4.0,,,
4123,Meka #4123,Dark Grey,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A1,MI Radar C1,3.0,MI Ray guns,,
4124,Meka #4124,Blue Grey,OG Meka,OG Oblong Heavy,OG Rose E1,OG Monkey R-9,OG Sabotage S3,OG Trooper A2,OG Trooper C1,3.0,OG Cannons,,
4125,Meka #4125,Blue Grey,F9,F9 Assault Spikes,F9 Green E21,F9 Assault,F9 Assault,F9 Jingasa A2,F9 Fortress C1,4.0,,,
4126,Meka #4126,,OG Meka,OG Quartz Heavy,OG Violet E1,OG Last Breath,OG Trooper S2,OG Trooper A2,OG Heavy C1,0.0,OG Omega x2,Siberie,
4127,Meka #4127,Aqua Lite,Mirage,MI Racer,MI Aqua Eye,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
4128,Meka #4128,Pastel Blue,OG Meka,OG Rombus Trooper,OG Rose E1,OG Trooper M1,OG Assault jaw,OG Trooper A1,OG Trooper C1,3.0,,,
4129,Meka #4129,Dark Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Racer C1,2.0,,,
4130,Meka #4130,Red,OG Meka,OG Delta Trooper,OG Blue E4,OG Trooper M1,OG Trooper S1,OG Trooper A2,OG Heavy C1,4.0,,,
4131,Meka #4131,Pastel Blue,OG Meka,OG Delta Elite,OG Rose E1,OG Filter,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,,,
4132,Meka #4132,Blood Red,Gādian,GAI Jingasa H1,Green Circle,GAI Jingasa M1,Bastion J2,GAI Youma,GAI Sōhei C1,5.0,GAI Tessen x2,,
4133,Meka #4133,,Mirage,MI SB-4,MI Pink Visor,MI Kaiman,MI WS-1,MI Sonic A1,MI Radar C1,0.0,,Carbon,
4134,Meka #4134,Blood Red,F9,F9 Assault Spikes,F9 White E0,F9 Knight,F9 Assault,F9 Jingasa A2,F9 Fortress C2,4.0,GAI Katana,,
4135,Meka #4135,Blood Red,Mirage,MI Racer,MI Pink Visor,MI Radar M1,MI Falcon W1,MI Radar A1,MI Racer C1,4.0,Mi Spectral blade x2,,
4136,Meka #4136,Pink,Mirage,MI Radar,MI Pink Visor,MI Kaiman,MI WS-1,MI Radar A1,MI Racer C1,3.0,,,
4137,Meka #4137,Camo Green,F9,F9 Spikes,F9 Green E7,F9 Bastion M2,F9 Assault,F9 Bastion,F9 Bastion C1,2.0,,,
4138,Meka #4138,Blood Red,Mirage,MI Eagle,MI Pink Visor,MI Racer M1,MI Racer W1,MI Racer A1,MI Radar C1,4.0,,,
4139,Meka #4139,Dark Grey,OG Meka,OG Delta Trooper,OG Blue E4,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Trooper C1,4.0,,,
4140,Meka #4140,Aqua Lite,OG Meka,OG Delta Trooper,OG White E13,OG Trooper M2,OG Sabotage S3,OG Trooper A1,OG Trooper C1,3.0,,,
4141,Meka #4141,,Mirage,MI SB-4,MI White Visor,MI Racer M2,MI WS-1,MI Sonic A1,MI Radar C1,0.0,,Camo blue,
4142,Meka #4142,Orange,OG Meka,OG Quartz Trooper,OG Pink E0,OG Sphere,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,,,
4143,Meka #4143,Blood Red,OG Meka,OG Darya Master,OG Rose E1,OG Monkey R-7,OG Sabotage S3,OG Trooper A2,OG Trooper C1,3.0,,,
4144,Meka #4144,Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Trooper A1,OG Trooper C2,4.0,,,
4145,Meka #4145,Red,Mirage,MI Eagle,MI Pink Visor,MI Salamender,MI Racer W2,MI Racer A1,MI Racer C2,4.0,,,
4146,Meka #4146,Dark Grey,OG Meka,OG Darya Master,OG Rose E1,OG Monkey R-9,OG Rocket jaw,OG Trooper A1,OG Trooper C2,3.0,OG Omega,Gold Helmet,
4147,Meka #4147,Aqua Lite,OG Meka,OG Radiant Trooper,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A1,OG Trooper C1,3.0,,,
4148,Meka #4148,Sky Blue,Gādian,GAI Jingasa H1,Pink Circle,GAI Ukiyo-E,Bastion J1,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
4149,Meka #4149,Blue Grey,OG Meka,OG Darya Trooper,OG Green E7,OG Monkey R-7,OG Rocket jaw,OG Solid Tank,OG Trooper C2,4.0,OG Plasma Ray,,
4150,Meka #4150,Blood Red,Gādian,GAI Jingasa H1,Pink Circle,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C1,4.0,GAI Enten,,
4151,Meka #4151,Blood Red,OG Meka,OG Delta Elite,OG Rose E1,OG Monkey R-9,OG Trooper S2,OG Trooper A2,OG Trooper C2,4.0,OG Solid Blade x2,,
4152,Meka #4152,Orange,OG Meka,OG Delta Trooper,OG Rose E1,OG Last Breath,OG Trooper S2,OG Solid Tank,OG Heavy C2,4.0,OG Gatling Gun,,
4153,Meka #4153,Aqua Lite,F9,F9 Ronin H1,F9 Green E7,F9 Assault,F9 Assault,F9 Samourai A0,F9 Bastion C1,4.0,,,
4154,Meka #4154,Dark Grey,Mirage,MI Sonar,MI Pink Visor,MI Salamender,MI Racer W1,MI Racer A1,MI Radar C1,2.0,,,
4155,Meka #4155,Blue Grey,Gādian,GAI Jingasa H2,Pink Delta,GAI Bastion M1,Bastion J2,GAI Jingasa A2,GAI Sōhei C1,3.0,GAI Katana,,
4156,Meka #4156,Red,Gādian,GAI Janjin H1,Pink Circle,GAI Jingasa M1,Bastion J1,GAI Youma,GAI Sōhei C2,3.0,GAI Katana,,
4157,Meka #4157,Blue Grey,OG Meka,OG Rombus Trooper,OG Pink E0,OG Trooper M2,OG Assault jaw,OG Solid Tank,OG Heavy C1,3.0,,,
4158,Meka #4158,Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Trooper M2,OG Rocket jaw,OG Trooper A1,OG Trooper C2,4.0,,,
4159,Meka #4159,Red,Mirage,MI Racer H2,MI Aqua Eye,MI Racer M2,MI Sonic J2,MI Radar A1,MI Radar C1,4.0,,,
4160,Meka #4160,Dark Grey,OG Meka,OG Delta Elite,OG Pink E0,OG Filter,OG Sabotage S7,OG Trooper A2,OG Trooper C1,4.0,,,
4161,Meka #4161,Aqua Lite,F9,F9 Loop,F9 Green E4,F9 Bastion M1,F9 Assault,F9 Jingasa A1,F9 Bastion C1,4.0,,,
4162,Meka #4162,Blood Red,OG Meka,OG Rombus Elite,OG White E13,OG Trooper M1,OG Rocket jaw,OG Trooper A2,OG Heavy C1,3.0,,,
4163,Meka #4163,Pink,OG Meka,OG Quartz Master,OG Violet E1,OG Knight,OG Trooper S2,OG Trooper A1,OG Trooper C1,3.0,,Silver Helmet,
4164,Meka #4164,Red,Mirage,MI SB-4,MI Pink Visor,MI Kaiman,MI Sonar J2,MI Radar A1,MI Racer C1,3.0,,Silver Helmet,
4165,Meka #4165,Orange,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Sonic J1,MI Racer A1,MI Racer C2,4.0,MI Ray guns,,
4166,Meka #4166,Orange,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M2,OG Assault jaw,OG Trooper A1,OG Heavy C1,3.0,,,
4167,Meka #4167,Red,OG Meka,OG Delta Heavy,OG Rose E1,OG Monkey R-9,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,OG Thunder Gun,,
4168,Meka #4168,Blue Grey,OG Meka,OG Rombus Master,OG Rose E1,OG Monkey R-9,OG Assault jaw,OG Solid Tank,OG Trooper C1,2.0,,,
4169,Meka #4169,Black,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI WS-2,MI Radar A1,MI Racer C2,2.0,,Silver Helmet,
4170,Meka #4170,,Mirage,MI Racer H2,MI Pink Visor,MI Racer M2,MI WS-1,MI Radar A1,MI Radar C1,0.0,,Siberie,
4171,Meka #4171,Red,Mirage,MI Racer,MI Pink Visor,MI Sonic M1,MI WS-2,MI Radar A1,MI Racer C1,3.0,,,
4172,Meka #4172,Dark Grey,Mirage,MI Sonar,MI Aqua Eye,MI Sonic M1,MI WS-2,MI Radar A1,MI Racer C1,3.0,Mi Spectral blade,,
4173,Meka #4173,Blue Grey,OG Meka,OG Darya Master,OG Violet E1,OG Filter,OG Trooper S2,OG Trooper A2,OG Trooper C1,2.0,,,
4174,Meka #4174,Red,Mirage,MI Racer,MI Aqua Eye,MI Salamender,MI Racer W1,MI Radar A1,MI Radar C1,3.0,,,
4175,Meka #4175,Red,OG Meka,OG Quartz Elite,OG Rose E1,OG Heavy,OG Sabotage S3,OG Trooper A2,OG Trooper C1,4.0,OG Omega x2,,
4176,Meka #4176,Pink,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,Bastion J2,GAI Sōhei A1,GAI Jingasa C1,4.0,,,
4177,Meka #4177,Aqua Lite,Gādian,GAI Jingasa H1,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A2,GAI Youma,4.0,GAI Katana,,
4178,Meka #4178,Blue Grey,Mirage,MI Racer H2,MI Pink Visor,MI Radar M1,MI Racer W1,MI Racer A1,MI Racer C1,3.0,,,
4179,Meka #4179,Blue Grey,Gādian,GAI Jingasa H1,Pink Delta,GAI Bastion M1,Bastion J2,GAI Jingasa A1,GAI Sōhei C1,3.0,GAI Katana,,
4180,Meka #4180,Orange,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Fortress C2,4.0,,,
4181,Meka #4181,Black,Mirage,MI SB-4,MI Aqua Eye,MI Racer M1,MI WS-1,MI Sonic A1,MI Radar C1,2.0,,,
4182,Meka #4182,Pastel Blue,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A1,OG Trooper C2,5.0,,,
4183,Meka #4183,Red,Mirage,MI Radar,MI Red Visor,MI Racer M2,MI Sonar J2,MI Sonic A1,MI Racer C1,3.0,,Gold Helmet,
4184,Meka #4184,Aqua Lite,OG Meka,OG Darya Trooper,OG Blue E4,OG Last Breath,OG Trooper S1,OG Trooper A1,OG Trooper C2,4.0,,,
4185,Meka #4185,Dark Grey,OG Meka,OG Delta Trooper,OG Rose E1,OG Knight,OG Trooper S1,OG Squadron 3,OG Trooper C1,4.0,,,
4186,Meka #4186,Aqua Lite,OG Meka,OG Quartz Heavy,OG Rose E1,OG Sphere,OG Trooper S1,OG Squadron 3,OG Trooper C1,3.0,,,
4187,Meka #4187,Aqua Lite,Gādian,GAI Janjin H2,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
4188,Meka #4188,Red,Mirage,MI Racer H2,MI White Visor,MI Salamender,MI Racer W2,MI Racer A1,MI Racer C1,3.0,,,
4189,Meka #4189,Blood Red,OG Meka,OG Darya Heavy,OG Blue E4,OG Pain,OG Sabotage S7,OG Solid Tank,OG Trooper C2,3.0,,,
4190,Meka #4190,Blurple,Mirage,MI Radar,MI Aqua Eye,MI Racer M1,MI Racer W1,MI Racer A2,MI Radar C1,4.0,,,
4191,Meka #4191,Blue Grey,F9,F9 Spikes,F9 Green E21,F9 Jingasa M2,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,,,
4192,Meka #4192,Sky Blue,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Sonar J2,MI Racer A2,MI Racer C1,3.0,,,
4193,Meka #4193,Pink,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI WS-2,MI Racer A2,MI Radar C1,3.0,,,
4194,Meka #4194,,Mirage,MI Sonar,MI Aqua Eye,MI Kaiman,MI WS-2,MI Radar A1,MI Radar C1,0.0,,Camo green,
4195,Meka #4195,,F9,F9 Ronin H1,F9 Red E3,F9 Monkey,F9 Assault,F9 Samourai A1,F9 Bastion C1,0.0,,Camo blue,
